,roles,companies,locations,experience,skills,Dates,PresentDate,salary
2872,Assistant,Fortis,"Noida, New Delhi, Delhi / NCR",1-5 Yrs,PCSOPDFront DeskFront OfficeComputer OperatingReceptionist ActivitiesFront Office ManagementReception,17 Days Ago,2024-11-24,3-4.25 Lacs PA
2873,QA Officer (Pharma),Pharma Companies,"Bhiwandi, KALYAN THANE",2-4 Yrs,Quality AuditQuality ManagementQuality assuranceQualityManagementPharmaceuticalAuditing,1 Day Ago,2024-11-24,2-3 Lacs PA
2874,Pedodontist,Clove Dental,Hyderabad,1-2 Yrs,classroom managementpresentation skillsteachingtrainingbusiness developmenteducational technologycounsellingcurriculum development,30+ Days Ago,2024-11-24,Not disclosed
2875,Global Social Media Community Manager,Novo Nordisk,Bengaluru,6-10 Yrs,Social media marketingDigital mediaSocial media analyticsConflict managementSocial mediaCorporate affairsHealthcareRepresentative,30+ Days Ago,2024-11-24,Not disclosed
2876,Quality Manager,"Care Treatment Centre Pvt, ltd",Varanasi,2-7 Yrs,Quality ControlQuality ManagementHospital ManagementAccreditationNABHControlQualityManagement,17 Days Ago,2024-11-24,2-2.25 Lacs PA
2877,Graphic Designer,Recon,Gurugram,1-5 Yrs,Brochure DesignCorel DrawGraphic DesigningGraphic ToolsPostersOnline BrandingBannersMarketing Collaterals,18 Days Ago,2024-11-24,2.5-3.5 Lacs PA
2878,Senior Analyst- Service Delivery Manager,Merck,Bengaluru,4-9 Yrs,Service deliveryAnalystInterpersonal skillsComplianceCustomer satisfactionProject managementManager TechnologyHealthcare,17 Days Ago,2024-11-24,Not disclosed
2879,Group Product Manager - Innovator Assets (Oncology /Hematology),Dr Reddys,Hyderabad,3-8 Yrs,Product managementHematologyNetworkingPackagingOncologyMarket researchCMEDoctor,30+ Days Ago,2024-11-24,Not disclosed
2880,HRBP- Kolkata,Manipal Hospitals,Kolkata,8-12 Yrs,employee relationsengagementcorporate hrhiringresourcetraining needstalent developmentperformance management system,17 Days Ago,2024-11-24,Not disclosed
2881,Technical Assistant,Torrent Pharmaceuticals,Dahej,3-8 Yrs,InstrumentationHMI ProgrammingHMIPLCInstrumentation EngineeringInstrumentation MaintenanceSCADATechnical Assistance,17 Days Ago,2024-11-24,Not disclosed
2882,Key Account Manager - CMD -,Abbott,Kochi,3-13 Yrs,informaticsManagementSalesforceKey accountsKeyAccountingKey account management,17 Days Ago,2024-11-24,Not disclosed
2883,Key Account Manager - CMD,Abbott,Kochi,3-13 Yrs,Direct salesMarketing programsSales strategySales RepresentativeInchargeCustomer serviceSales processinformatics,17 Days Ago,2024-11-24,Not disclosed
2884,Senior Quality Engineer,Medtronic,Hyderabad,8-12 Yrs,remediationQuality standardsProject managementQuality systemsQuality engineeringHealthcarePPAPPFMEA,17 Days Ago,2024-11-24,Not disclosed
2885,Quality Engineer II,Medtronic,Hyderabad,6-9 Yrs,Product qualityEngineer IISCRQuality systemsQuality engineeringHealthcarePPAPPFMEA,17 Days Ago,2024-11-24,Not disclosed
2886,DXP ServiceNow User Experience Catalyst,Roche Diagnostics,Hyderabad,3-7 Yrs,ProcurementSANRSSCADAgileHealthcareSupport servicesScrum,17 Days Ago,2024-11-24,Not disclosed
2887,Senior Phaco-Cataract Surgeon,Staffing,"Hassan, Ghaziabad, Chennai",3-8 Yrs,Cataract SurgeryOphthalmologyPhacoSeniorSurgery,17 Days Ago,2024-11-24,Not disclosed
2888,DXP ServiceNow User Experience Catalyst,Hoffmann-La Roche,Hyderabad,3-7 Yrs,ProcurementSANRSSCADAgileHealthcareSupport servicesScrum,17 Days Ago,2024-11-24,Not disclosed
2889,Business Process Architect 1,Merck,Bengaluru,4-9 Yrs,ProcurementBusiness processStakeholder EngagementAutomationChange managementAccess managementProcess controlProcess migration,17 Days Ago,2024-11-24,Not disclosed
2890,Analyst - Supply Chain,Merck,Bengaluru,1-3 Yrs,Supply chainSAP ERPAnalyticalBillingdata integrityCustomer serviceOracleContinuous improvement,18 Days Ago,2024-11-24,Not disclosed
2891,Executive Administration,Jubilant Pharmova Limited,Bharuch,3-7 Yrs,Office AdministrationGood CommunicationAdministrationExecutive supportOfficeCommunication skills,18 Days Ago,2024-11-24,4-7 Lacs PA
2892,Analyst,Merck,Bengaluru,1-3 Yrs,Order managementData analysisInterpersonal skillsSAPStandard operating proceduresPower point presentationMS OfficeOracle,18 Days Ago,2024-11-24,Not disclosed
2893,Chemical Researcher - Greater Noida @ TAPI,Teva Pharmaceuticals,Greater Noida,5-10 Yrs,synthesisLiterature ReviewProcess developmentAPITechnology Transferscaleuproute selectionResearch,30+ Days Ago,2024-11-24,Not disclosed
2894,Therapy Business Manager - Siliguri - GI Prima,Abbott,Guwahati,1-5 Yrs,PharmaFinancePackagingManagementResearchOperationsSalesforcePharmaceutical,18 Days Ago,2024-11-24,Not disclosed
2895,Nurse,Manipal Hospitals,Jaipur,1-5 Yrs,patient safetymedicalhealth care servicesadministrationgnmemergencynursinginfection control,18 Days Ago,2024-11-24,Not disclosed
2896,Quality Analyst,"PerkinElmer, Inc.",Hyderabad,1-5 Yrs,Service deliveryUsageSalesNetworkingAnalyticalQuality AnalystHealthcareClient relationship,30+ Days Ago,2024-11-24,Not disclosed
2897,Lead Analytical Development,Dr Reddys Path Labs,Hyderabad,14-18 Yrs,NutritionDevelopment ManagerAnalyticalQuality systemsnutraceuticalsGeneticsGLPMS Office Word,30+ Days Ago,2024-11-24,Not disclosed
2898,Cashier - Accounts & Finance,Max Hospital@Gurgaon,Gurugram(Sushant Lok Phase 1),3-6 Yrs,Cash HandlingCashier ActivitiesAccountingAccountingHandlingCashFinance,18 Days Ago,2024-11-24,Not disclosed
2899,Senior Enterprise Software Test Engineer - Automation QA,Medtronic,Hyderabad,1-10 Yrs,System testingC++JavascriptPerformance testingAgileHealthcareMonitoringTesting,18 Days Ago,2024-11-24,Not disclosed
2900,Therapy Manager / Medical Sales Representative,Cipla,Jalandhar,1-6 Yrs,Pharma Sellingmedical representativeSalesMRTherapyManagementMedicalPharmaceutical,18 Days Ago,2024-11-24,Not disclosed
2901,"Unit Patient Experience Manager, Ranchi",Manipal Hospitals,Kolkata,10-15 Yrs,front deskproject managementdata analysisteam managementresourcecustomer serviceturnaroundtraining,18 Days Ago,2024-11-24,Not disclosed
2902,Expert,Merck,Bengaluru,2-6 Yrs,Patch managementWaste managementCrisis managementChange managementSAP MMGermanapplication architectureUser management,18 Days Ago,2024-11-24,Not disclosed
2903,Key Account Manager | Lifecare | Mangalore,Abbott,Kochi,2-5 Yrs,TradeCustomer managementPharmaMarket intelligenceBusiness planningCMEBusiness strategyMarketing strategy,18 Days Ago,2024-11-24,Not disclosed
2904,Product Manager - Synergy,Dr Reddys Path Labs,Hyderabad,3-6 Yrs,Product launchBrand positioningSupply chain managementChange managementPharmaAnalyticalMarket researchGenetics,30+ Days Ago,2024-11-24,Not disclosed
2905,Senior Specialist - Intellectual Property,Dr Reddys Path Labs,Hyderabad,14-15 Yrs,Organic chemistryDue diligenceClaimsPharmaceuticsAndaPeople management skillsAnalyticalIntellectual property,30+ Days Ago,2024-11-24,Not disclosed
2906,Expert SAP PP,Merck,Bengaluru,3-8 Yrs,Business processPerformance tuningERPProject managementIntegration testingHealthcareSystem designProject delivery,18 Days Ago,2024-11-24,Not disclosed
2907,Software Test Engineer II - CP,Medtronic,Hyderabad,4-8 Yrs,automation frameworkManager Quality AssuranceISOTest scriptsConfiguration managementTest executionHealthcareIncident management,18 Days Ago,2024-11-24,Not disclosed
2908,Senior Data Integration Engineer,Merck,Bengaluru,4-9 Yrs,Root cause analysisSAPdata securityHIPAAdata governanceHealthcareOracleInformation technology,18 Days Ago,2024-11-24,Not disclosed
2909,BPM Expert,Merck,Bengaluru,4-9 Yrs,MiningProcess designProject managementProcess improvementBusiness process managementVisioRisk managementContinuous improvement,18 Days Ago,2024-11-24,Not disclosed
2910,Pharmacy Incharge,M/S Jagat Pharma,"Noida, Faridabad, Delhi / NCR",2-6 Yrs,Clinical PharmacyPharmacyPharmacistInventory ControlDispensaryDispensingStore ManagementManagement,19 Days Ago,2024-11-24,2-3.5 Lacs PA
2911,Solution Scientist,Merck,Hyderabad,4-9 Yrs,Organic chemistryInterpersonal skillsTime managementAnalyticalsales enablementSales processSales trainingSCM,30+ Days Ago,2024-11-24,Not disclosed
2912,Specialist - Customer Experience,Merck,Bengaluru,4-9 Yrs,Order managementSupply chainERPCustomer satisfactionAccountingCustomer serviceCustomer experienceMS Office,30+ Days Ago,2024-11-24,Not disclosed
2913,Advanced Business Analyst,Novo Nordisk,Bengaluru,7-12 Yrs,ProcurementBusiness servicesBusiness objectsInternational operationsProject managementAnalyticalRelationship buildingFinancial planning,30+ Days Ago,2024-11-24,Not disclosed
2914,Home Care Nurse To Work in Qatar (Trivendrum),2coms,Thiruvananthapuram,2-7 Yrs,medicaladministrationmicrobiologycritical carenursinginfection controlmedicinemedication administration,19 Days Ago,2024-11-24,1-6 Lacs PA
2915,Home Care Nurse To Work in Qatar (Jammu),2coms,Jammu,2-7 Yrs,medicaladministrationgnmmicrobiologycritical carenursinginfection controlmedicine,19 Days Ago,2024-11-24,1-6 Lacs PA
2916,Medical Representative,Lupin,Remote,1-6 Yrs,SalesMRmedical representativePharma SellingPharma MarketingMedicalPharmaceuticalSelling,18 Days Ago,2024-11-24,3.25-4 Lacs PA
2917,Opening with MSD - Tech Maintenance,Merck Sharp & Dohme (MSD),Manesar,4-9 Yrs,SAPMachine MaintenanceMaintenancePlant MaintenanceMechanical MaintenanceMachineMechanicalTechnical analysis,19 Days Ago,2024-11-24,Not disclosed
2918,Opening With MSD - Tech Planning & Scheduling,Merck Sharp & Dohme (MSD),Manesar,4-8 Yrs,TechSAPProductionSchedulingPlanningTechnical analysis,19 Days Ago,2024-11-24,Not disclosed
2919,"Senior Nurse (Cardiac OT, Emergency, ICU)",Manipal Hospitals,"Bariyatu, Ranchi",2-5 Yrs,NursingICUEmergency NursingCardiacGNMSeniorOTEmergency,19 Days Ago,2024-11-24,Not disclosed
2920,Assistant Manager QA,Lifecell,"Tambaram, Chennai",3-8 Yrs,pharmaPharmaceuticalBiopharmaQuality assuranceManagementAssistanceQA management,22 Days Ago,2024-11-24,3-6.5 Lacs PA
2921,Portfolio Partner,Dr Reddys,Hyderabad,3-5 Yrs,Operational excellenceFinancial reportingAnalyticalHealthcareCash flowLicensingForecastingPortfolio management,30+ Days Ago,2024-11-24,Not disclosed
2922,Home Care Nurse To Work in Qatar (Visakhapatnam),2coms,Visakhapatnam,2-7 Yrs,medicaladministrationmicrobiologycritical carenursinginfection controlmedicinemedication administration,19 Days Ago,2024-11-24,Not disclosed
2923,Medical Transcriptionist,Manipal Hospitals,"Bariyatu, Ranchi",10-12 Yrs,Record KeepingTyping SpeedListen to voice recordings from doctors and other healthcare providerstranscribing them accurately into written reports.RecordingVoiceHealthcareMedical,19 Days Ago,2024-11-24,3.5-4 Lacs PA
2924,Account Manager-Digital Sales,Merck,Bengaluru,1-3 Yrs,Interpersonal skillsChemicalDigital salesMISBrand awarenessDistributor handlingAccount managementSales process,30+ Days Ago,2024-11-24,Not disclosed
2925,Home Care Nurse To Work in Qatar (Chennai),2coms,Chennai,2-7 Yrs,medicaladministrationmicrobiologycritical carenursinginfection controlmedicinemedication administration,19 Days Ago,2024-11-24,Not disclosed
2926,Home Care Nurse To Work in Qatar (Punjab),2coms,Chandigarh,2-7 Yrs,medicaladministrationmicrobiologycritical carenursinginfection controlmedicinemedication administration,19 Days Ago,2024-11-24,Not disclosed
2927,Princial Enterprise Software Engineer,Medtronic,Hyderabad,3-6 Yrs,Software designGITMVVMCodingConfiguration managementHealthcareScrumProduct design,30+ Days Ago,2024-11-24,Not disclosed
2928,Opening with MSD - Territory Manager (Aquaculture),Merck Sharp & Dohme (MSD),Bhimavaram,2-7 Yrs,SalesAquaAquacultureAnimal HealthMarketingManagementTerritory managementHealth,18 Days Ago,2024-11-24,Not disclosed
2929,SAP ABAP Professionals,Micro Labs,Bengaluru,5-10 Yrs,Computer sciencePerformance tuningDialog programmingAdobe FormsSAP scriptsSAPSAP ABAPAle,30+ Days Ago,2024-11-24,Not disclosed
2930,Hospital Manager,Aakash Fertility Centre And Hospital,Chennai(Vadapalani +1),2-3 Yrs,Hospital AdministrationHospital ManagementMS OfficeNABHMicrosoftOfficeManagementHospital,19 Days Ago,2024-11-24,Not disclosed
2931,Scientist Product Analytics,Dr Reddys,Hyderabad,2-6 Yrs,SECSpectroscopyQCAnalyticalIon exchangeHPLCAnalyticsChromatography,30+ Days Ago,2024-11-24,Not disclosed
2932,Process Lead - Commercial Analytics NAG,Dr Reddys,Hyderabad,3-5 Yrs,Root cause analysisAutomationSAPProcess improvementBusiness modelingEDISubject Matter ExpertProcess Lead,30+ Days Ago,2024-11-24,Not disclosed
2933,RS - F&D(Parenteral /Ophthalmic ),Mankind Pharma,Manesar,4-8 Yrs,OpthalmicAndaOticInhalationparenteralF#Ophthalmology,16 Days Ago,2024-11-24,Not disclosed
2934,Team Member Planning,Dr Reddys,Hyderabad,3-5 Yrs,OPEXAutomationTeam managementAnalyticalFinanceData analyticsBudgetingManagement,30+ Days Ago,2024-11-24,Not disclosed
2935,Senior Associate - Finance & Accounts,Manipal Hospitals,Mysuru,3-8 Yrs,Knowledge of Receivables & PayablesKnowledge of Revenue BookingReconciliation of Bank/Cash AccountsCheck Services BillsFinance & AccountsFinanceReceivableSenior,18 Days Ago,2024-11-24,3-4.5 Lacs PA
2936,Marketing Manager / Asst manager / Sr Executive / Executive,Clove Dental,Ahmedabad,2-6 Yrs,ExecutiveAssistanceMarketing managementMarketingManagementSR,30+ Days Ago,2024-11-24,Not disclosed
2937,MD Pathologist,The Orange Health,Bengaluru,0-2 Yrs,PathologyInterpersonal skillsQuality standardsWeb technologiesDiagnosticsHealthcareCustomer experienceIOS,30+ Days Ago,2024-11-24,Not disclosed
2938,Senior Nurse - Cardiac Thoracic Operation Theatre,Manipal Hospitals,Mysuru,3-8 Yrs,CTOT NurseCardiac Thoracic Operation Theatre NurseCardiac OT NurseOTSeniorOperationsCardiacNursing,19 Days Ago,2024-11-24,3.25-5 Lacs PA
2939,Operations Team Lead,Manipal Hospitals,Ranchi,3-8 Yrs,Operational ExcellenceOperations Team HandlingOperations LeadershipTeamTeam leadingExcellenceHandlingOperations,21 Days Ago,2024-11-24,Not disclosed
2940,Principal Product Manager,Dr Reddys,Hyderabad,7-16 Yrs,Partner managementProcurementSupply chainBusiness processChange managementBudgetingCustomer serviceProject delivery,30+ Days Ago,2024-11-24,Not disclosed
2941,Cardiac Anesthesiologist,Next Learn Technologies,Davangere,0-4 Yrs,Internal MedicineCardiac AnesthesiaSurgeryHospitalCardiologyPulmonologyPediatricsNephrology,21 Days Ago,2024-11-24,22.5-37.5 Lacs PA
2942,Software V&V Engineer II - SR,Medtronic,Hyderabad,2-8 Yrs,Product managementRTOSC++Medical devicesSoftware designManager Quality AssuranceCodingSystem design,30+ Days Ago,2024-11-24,Not disclosed
2943,Software V&V Engineer II,Medtronic,Hyderabad,2-8 Yrs,Product managementRTOSC++Medical devicesSoftware designManager Quality AssuranceCodingSystem design,30+ Days Ago,2024-11-24,Not disclosed
2944,Team Lead Sales Controlling,Dr Reddys,Hyderabad,7-9 Yrs,Manager Internal AuditFront officeTeam managementProcess improvementRevenue recognitionGAAPCorporate financeAnalytics,30+ Days Ago,2024-11-24,Not disclosed
2945,Senior Software Test Engineer - SR,Medtronic,Hyderabad,2-12 Yrs,Product managementRTOSC++Medical devicesSoftware designManager Quality AssuranceCodingSystem design,30+ Days Ago,2024-11-24,Not disclosed
2946,Attending / Associate Consultant - Anaesthesia @ Fortis Hospital Noida,Fortis,"Noida, Delhi / NCR",3-5 Yrs,AnaesthesiaCardiac AnesthesiaAnaesthesiologistAnesthesiologyGeneral AnesthesiaAnesthesiaCardiacGeneral,16 Days Ago,2024-11-24,Not disclosed
2947,Senior Software Engineer,Medtronic,Hyderabad,4-12 Yrs,RTOSC++Medical devicesSoftware designCommunication protocolsLinuxCodingHealthcare,30+ Days Ago,2024-11-24,Not disclosed
2948,Urologist,Hitkari Hospital & Surgical Centre,Balotra,0-5 Yrs,UrologyAndrologyReconstructive SurgeryNephrologyLaparoscopyandrologSurgery,20 Days Ago,2024-11-24,Not disclosed
2949,Business Process Architect - PPQM/ RTI,Merck,Bengaluru,4-9 Yrs,Business processBusiness administrationArchitectERPProduction planningSAP PPBatch managementManagement,30+ Days Ago,2024-11-24,Not disclosed
2950,Senior Assistant Production,Merck,Bengaluru,1-3 Yrs,EHSSAPChemicalISOComplianceChemical engineeringPharmaPackaging,30+ Days Ago,2024-11-24,Not disclosed
2951,Finance Associate,Dr Reddys,Hyderabad,1-3 Yrs,Manager Internal AuditSAPMISAnalyticalReconciliationCash flowIFRSMS Office,30+ Days Ago,2024-11-24,Not disclosed
2952,Rebates Analyst,Dr Reddys,Hyderabad,2-4 Yrs,Front officeSAPClaimsExcelSalesAccountingContinuous improvementSupervision,30+ Days Ago,2024-11-24,Not disclosed
2953,Territory Business Manager | Osvita | Bihar,Abbott,Kolkata,2-7 Yrs,PharmaFinancePackagingMarket researchOperationsSalesforceManagementPharmaceutical,22 Days Ago,2024-11-24,Not disclosed
2954,Lead -Lean and Operational Excellence,Dr Reddys,Hyderabad,4-8 Yrs,TPMKaizenOperational excellenceLean manufacturingProject managementMISCost reductionBusiness excellence,30+ Days Ago,2024-11-24,Not disclosed
2955,OT Pharmacist,Narayana Health (NH),Gurugram,2-5 Yrs,OTPharmacy,22 Days Ago,2024-11-24,Not disclosed
2956,Senior Analyst,Merck,Bengaluru,2-6 Yrs,AnalystERPService levelSalesforce AdministratorSAPData qualityOracleOperations,22 Days Ago,2024-11-24,Not disclosed
2957,Assistant Manager Internal Audits,Fortis,Gurugram,1-3 Yrs,Internal AuditInternal ControlERPPower BILARSBiAssistanceAuditing,22 Days Ago,2024-11-24,Not disclosed
2958,UX/UI Designer,Dr Reddys,Hyderabad,2-5 Yrs,User interface designingDigital designCodingPharmaProcess improvementInteraction designProcess excellenceCustomer engagement,30+ Days Ago,2024-11-24,Not disclosed
2959,Finance Planner,Dr Reddys,Hyderabad,4-5 Yrs,Supply chainCostingFinancial analysisMISFinanceFinancial planningTransfer pricingVariance analysis,30+ Days Ago,2024-11-24,Not disclosed
2960,Key Account Manager | Futura | Coiambatore,Abbott,Chennai,2-5 Yrs,TradeCustomer managementPharmaMarket intelligenceBusiness planningCMEBusiness strategyMarketing strategy,22 Days Ago,2024-11-24,Not disclosed
2961,Planning Specialist,Merck,Bengaluru,4-9 Yrs,SAPDemand planningProcess improvementSupply chain operationsSupply chain planningSix sigma certifiedIssue resolutionSCM,30+ Days Ago,2024-11-24,Not disclosed
2962,Manager - Risk Management,Fortis,Gurugram,4-8 Yrs,ERMEnterprise Risk ManagementRiskRisk managementEnterpriseManagementEnterprise risk,22 Days Ago,2024-11-24,Not disclosed
2963,Sous Chef,Manipal Hospitals,Mysuru,6-11 Yrs,TandoorMulti CuisineContinentalSous ChefIndianCdpIndian Cuisine,19 Days Ago,2024-11-24,3.5-6.5 Lacs PA
2964,Senior Software V&V Engineer,Medtronic,Hyderabad,2-8 Yrs,Product managementRTOSC++Medical devicesSoftware designManager Quality AssuranceCodingSystem design,22 Days Ago,2024-11-24,Not disclosed
2965,Senior AWS Cloud Engineer,Merck,Bengaluru,3-8 Yrs,Root cause analysissecurity complianceAutomationMonitoring toolsInfrastructure managementNetwork securityProgrammingIncident management,22 Days Ago,2024-11-24,Not disclosed
2966,AEM Platform Architect,Merck,Bengaluru,4-9 Yrs,Solution architectureMonitoring toolsadobe analyticsSoftware development life cycleTechnical leadershipWeb content managementmicrosoft azureCustomer engagement,30+ Days Ago,2024-11-24,Not disclosed
